build,matrix,kernel,M,A_nnz,madd_pairs,ops_analytical,bytes_analytical,AI,C_nnz,compression,checksum,simInsts,simOps,numCycles,simSeconds,vec_insts,vec_ratio,l1d_misses,l2_misses,mpki,dram_read_bytes,dram_write_bytes,dram_traffic_total,cnnz_ref_mismatch
gc,2cubes_sphere.mtx,i8,,,,,,,,,,3317038534,3322303398,4718853981,2.359427,31814280,0.009576,1319047,904314,0.2726,57858880,28736512,86595392,0
gcv,2cubes_sphere.mtx,i8,,,,,,,,,,3305280110,3314922338,4770141795,2.385071,41136426,0.012409,1350689,904333,0.2736,57858496,28735936,86594432,0
gc,amazon0312.mtx,i8,,,,,,,,,,5514152284,5520604469,7083793100,3.541897,54487479,0.009870,9576194,6265854,1.1363,400832192,322868096,723700288,0
gcv,amazon0312.mtx,i8,,,,,,,,,,5493581764,5509193065,7088078262,3.544039,75646179,0.013731,9711638,6265850,1.1406,400828288,322868352,723696640,0
gc,ca-CondMat.mtx,i8,,,,,,,,,,149787222,149976880,169485672,0.084743,1594013,0.010628,32197,28012,0.1870,1792768,685888,2478656,0
gcv,ca-CondMat.mtx,i8,,,,,,,,,,149786800,149976458,169664723,0.084832,1594013,0.010628,32376,28018,0.1871,1793152,684480,2477632,0
gc,ca-CondMat_nodename.mtx,i8,,,,,,,,,,124404,124526,350433,0.000175,499,0.004007,1076,1578,12.6845,100992,0,100992,0
gcv,ca-CondMat_nodename.mtx,i8,,,,,,,,,,123983,124105,344960,0.000172,499,0.004021,1078,1584,12.7759,101312,0,101312,0
